delegation_id,delegation_en,delegation_mx,delegation_fr,product_id,product_name_en,product_name_es,product_name_fr,sale_pvp_usd,sale_pvp_mx,sale_pvp_cad,sale_pvp_eur,sale_pvp_gbp,desc_final_comp,sale_pvp_usd_desc,sale_pvp_mx_desc,sale_pvp_cad_desc,sale_pvp_eur_desc,sale_pvp_gbp_desc,desc_final_opaco,sale_pvp_usd_desc_opaco,sale_pvp_mx_desc_opaco,sale_pvp_cad_desc_opaco,sale_pvp_eur_desc_opaco,sale_pvp_gbp_desc_opaco,priority,nexus_link,product_img1_link,sunwing_link,dispo_sunwing_link,royalton_link,dispo_royalton_link,royaltongroups_link,dispo_royaltongroups_link,starfish_link,dispo_starfish_link,princess_link,dispo_princess_link,memories_link,dispo_memories_link,categoria,sitio
110282,DO Punta Cana,DO Punta Cana,DO Punta Cana,1370,VIP Punta Cana Buggies,VIP Punta Cana Buggies,VIP Punta Cana Buggies,150,2699,205,139,119,0,150,2699,205,139,119,5,143,2565,195,133,114,5440000,https://www.nexustours.com/services/details.aspx?productID=1370&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/services/1370/Buggies_VIP_(2).png,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=1370&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=1370&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://royalton-groups.nexustours.com/services/details.aspx?productID=1370&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://starfish.nexustours.com/services/details.aspx?productID=1370&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=1370&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://memories.nexustours.com/services/details.aspx?productID=1370&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,tour,B2C
109303,MX Cancun & Riviera Maya,MX CancÃºn & Riviera Maya,MX Cancun & Riviera Maya,1275,Isla Mujeres Plus,Isla Mujeres Plus,Isla Mujeres Plus,69,1242,95,64,55,0,69,1242,95,64,55,5,66,1180,91,61,53,4152,https://www.nexustours.com/services/details.aspx?productID=1275&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/services/Isla_Mujeres_Plus_/V2barco-albatros-zoom-095-ubsg48-3-bgpjqu.JPG,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=1275&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=1275&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton-groups.nexustours.com/services/details.aspx?productID=1275&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://starfish.nexustours.com/services/details.aspx?productID=1275&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=1275&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://memories.nexustours.com/services/details.aspx?productID=1275&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,tour,B2C
110604,CU Varadero,CU Varadero,CU Varadero,1821,Seatour,Seatour,Seatour,75,1350,103,70,60,0,75,1350,103,70,60,5,72,1283,98,67,57,1097,https://www.nexustours.com/services/details.aspx?productID=1821&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/Excursions/1821_Seatour/Images/v2_seatour-varadero-001_exsx8o.jpg,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=1821&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=1821&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://royalton-groups.nexustours.com/services/details.aspx?productID=1821&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://starfish.nexustours.com/services/details.aspx?productID=1821&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=1821&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://memories.nexustours.com/services/details.aspx?productID=1821&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,1,tour,B2C
110282,DO Punta Cana,DO Punta Cana,DO Punta Cana,6821,Punta Cana Buggies Double,Punta Cana Buggies Doble,Punta Cana Buggies Double,130,2339,178,120,103,0,130,2339,178,120,103,5,124,2223,170,114,98,1039,https://www.nexustours.com/services/details.aspx?productID=6821&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/services/Punta_Cana_Buggies_Doble/v2-Punta-Cana-Buggies-Doble--8--kopff1.JPG,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=6821&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=6821&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://royalton-groups.nexustours.com/services/details.aspx?productID=6821&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://starfish.nexustours.com/services/details.aspx?productID=6821&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=6821&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://memories.nexustours.com/services/details.aspx?productID=6821&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,tour,B2C
109303,MX Cancun & Riviera Maya,MX CancÃºn & Riviera Maya,MX Cancun & Riviera Maya,2259,Chichen Itza Tour,ChichÃ©n ItzÃ¡ Tour,Chichen Itza Tour,139,2501,190,129,110,0,139,2501,190,129,110,5,133,2376,181,123,105,992,https://www.nexustours.com/services/details.aspx?productID=2259&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/services/Chich_n_Itz__Tour/v2-CHICHENCANCUNPASSION---g97be6.JPG,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=2259&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=2259&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton-groups.nexustours.com/services/details.aspx?productID=2259&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://starfish.nexustours.com/services/details.aspx?productID=2259&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=2259&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://memories.nexustours.com/services/details.aspx?productID=2259&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,tour,B2C
110282,DO Punta Cana,DO Punta Cana,DO Punta Cana,5042,Monkeyland,Monkeyland,Monkeyland,89,1601,122,82,71,0,89,1601,122,82,71,5,85,1521,116,78,68,896,https://www.nexustours.com/services/details.aspx?productID=5042&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/services/Monkeyland/MAIN-Monkeyland-Safari--12-.JPG,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=5042&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=5042&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://royalton-groups.nexustours.com/services/details.aspx?productID=5042&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://starfish.nexustours.com/services/details.aspx?productID=5042&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=5042&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://memories.nexustours.com/services/details.aspx?productID=5042&paxs=10&productType=TKT&destinationID=110282&addDays=2&nights=6&prov=SGN&accion=searchservices,0,tour,B2C
109303,MX Cancun & Riviera Maya,MX CancÃºn & Riviera Maya,MX Cancun & Riviera Maya,8463,Isla Mujeres Full Experience,Isla Mujeres Full Experience,Isla Mujeres Full Experience,109,1961,149,101,86,0,109,1961,149,101,86,5,104,1863,142,96,82,881,https://www.nexustours.com/services/details.aspx?productID=8463&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/services/Isla_Mujeres_Full_Experience/MAIN-8463--Isla-Mujeres-Full-Experience-qun7ia.JPG,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=8463&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=8463&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton-groups.nexustours.com/services/details.aspx?productID=8463&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://starfish.nexustours.com/services/details.aspx?productID=8463&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=8463&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://memories.nexustours.com/services/details.aspx?productID=8463&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,tour,B2C
109303,MX Cancun & Riviera Maya,MX CancÃºn & Riviera Maya,MX Cancun & Riviera Maya,1542,Tulum Express,Tulum Express,Tulum Express,65,1170,89,60,52,0,65,1170,89,60,52,5,62,1112,85,57,50,860,https://www.nexustours.com/services/details.aspx?productID=1542&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/services/Tulum_Express/v2-Tulum-Express--1--y2n7ig.JPG,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=1542&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=1542&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton-groups.nexustours.com/services/details.aspx?productID=1542&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://starfish.nexustours.com/services/details.aspx?productID=1542&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=1542&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://memories.nexustours.com/services/details.aspx?productID=1542&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,tour,B2C
110604,CU Varadero,CU Varadero,CU Varadero,289,Havana One Day,Un DÃ­a en la Habana,Havana One Day,75,1350,103,70,60,0,75,1350,103,70,60,5,72,1283,98,67,57,807,https://www.nexustours.com/services/details.aspx?productID=289&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/services/Un_D_a_en_la_Habana/v2-havana-one-day-varadero-009-qo8icg.JPG,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=289&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=289&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://royalton-groups.nexustours.com/services/details.aspx?productID=289&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://starfish.nexustours.com/services/details.aspx?productID=289&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=289&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://memories.nexustours.com/services/details.aspx?productID=289&paxs=10&productType=TKT&destinationID=110604&addDays=2&nights=6&prov=SGN&accion=searchservices,1,tour,B2C
109303,MX Cancun & Riviera Maya,MX CancÃºn & Riviera Maya,MX Cancun & Riviera Maya,296,Chichen Itza Deluxe,ChichÃ©n ItzÃ¡ De Lujo,Chichen Itza Deluxe,174,3131,238,161,137,0,174,3131,238,161,137,5,166,2975,227,153,131,701,https://www.nexustours.com/services/details.aspx?productID=296&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,https://www.nexustours.com/images/upload/services/Chich_n_Itz__Deluxe/v2-CHICHENCANCUNPASSION-20a-cl1pvs.JPG,https://sunwingexperiences.nexustours.com/services/details.aspx?productID=296&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton.nexustours.com/services/details.aspx?productID=296&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://royalton-groups.nexustours.com/services/details.aspx?productID=296&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://starfish.nexustours.com/services/details.aspx?productID=296&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,https://princess.nexustours.com/services/details.aspx?productID=296&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,1,https://memories.nexustours.com/services/details.aspx?productID=296&paxs=10&productType=TKT&destinationID=109303&addDays=2&nights=6&prov=SGN&accion=searchservices,0,tour,B2C
